iter	Passed	Remaining
0	144	144192
1	145	72499
2	146	48559
3	146	36578
4	147	29391
5	148	24607
6	149	21178
7	150	18606
8	150	16622
9	151	15027
10	152	13724
11	153	12642
12	154	11739
13	155	10969
14	156	10291
15	157	9685
16	158	9156
17	159	8686
18	160	8261
19	160	7878
20	161	7532
21	162	7220
22	163	6935
23	164	6678
24	165	6441
25	166	6223
26	167	6019
27	168	5833
28	168	5654
29	170	5503
30	171	5347
31	171	5198
32	172	5059
33	173	4930
34	174	4812
35	175	4697
36	176	4590
37	177	4491
38	178	4392
39	179	4297
40	179	4207
41	180	4124
42	181	4043
43	182	3971
44	184	3909
45	185	3840
46	186	3772
47	186	3707
48	187	3644
49	188	3583
50	189	3526
51	190	3472
52	191	3420
53	192	3368
54	193	3317
55	193	3269
56	194	3223
57	195	3178
58	196	3136
59	197	3097
60	198	3060
61	199	3021
62	200	2986
63	201	2954
64	202	2918
65	203	2883
66	204	2849
67	205	2815
68	206	2783
69	207	2751
70	207	2721
71	208	2691
72	209	2663
73	210	2636
74	211	2611
75	213	2591
76	213	2564
77	215	2541
78	215	2517
79	216	2493
80	217	2470
81	218	2447
82	219	2421
83	220	2399
84	220	2378
85	221	2358
86	222	2338
87	223	2319
88	224	2302
89	226	2285
90	227	2268
91	228	2252
92	229	2234
93	229	2216
94	230	2199
95	231	2182
96	232	2165
97	233	2148
98	234	2131
99	235	2115
100	235	2099
101	236	2084
102	237	2069
103	238	2056
104	239	2042
105	240	2028
106	241	2016
107	242	2003
108	243	1989
109	244	1976
110	245	1964
111	246	1950
112	246	1937
113	247	1924
114	248	1911
115	249	1899
116	249	1885
117	250	1874
118	251	1862
119	252	1850
120	253	1840
121	254	1828
122	254	1818
123	255	1808
124	257	1799
125	257	1788
126	258	1777
127	259	1767
128	260	1757
129	261	1747
130	262	1738
131	262	1728
132	263	1718
133	264	1708
134	265	1699
135	266	1690
136	266	1681
137	267	1673
138	268	1665
139	269	1657
140	270	1649
141	271	1640
142	272	1633
143	273	1624
144	274	1617
145	275	1610
146	276	1602
147	277	1595
148	277	1587
149	278	1580
150	279	1572
151	280	1565
152	281	1559
153	282	1552
154	283	1544
155	284	1538
156	285	1532
157	286	1527
